@relation SomeContent

@attribute race {Other,Amer-Indian-Eskimo,White,Black,Asian-Pac-Islander}
@attribute age numeric
@attribute capital-loss numeric
@attribute relationship {Other-relative,Not-in-family,Wife,Husband,Unmarried,Own-child}
@attribute native-country {Hong,South,Japan,Jamaica,Cuba,Canada,Ireland,China,Peru,Columbia,Trinadad&Tobago,Taiwan,Yugoslavia,Guatemala,El-Salvador,Ecuador,Puerto-Rico,Laos,Portugal,United-States,Germany,Hungary,Italy,Dominican-Republic,Outlying-US(Guam-USVI-etc),Nicaragua,Thailand,India,Scotland,Vietnam,Cambodia,Philippines,England,Holand-Netherlands,Iran,Haiti,Greece,Honduras,Mexico,Poland,France}
@attribute occupation {Sales,Machine-op-inspct,Craft-repair,Protective-serv,Armed-Forces,Prof-specialty,Transport-moving,Exec-managerial,Farming-fishing,Adm-clerical,Priv-house-serv,Tech-support,Other-service,Handlers-cleaners}
@attribute hours-per-week numeric
@attribute income {>50K,<=50K}
@attribute fnlwgt numeric
@attribute capital-gain numeric
@attribute sex {Male,Female}
@attribute marital-status {Separated,Divorced,Married-spouse-absent,Married-civ-spouse,Never-married,Widowed,Married-AF-spouse}
@attribute education {Assoc-voc,Some-college,Preschool,Bachelors,Prof-school,Doctorate,5th-6th,Masters,HS-grad,1st-4th,12th,Assoc-acdm,9th,11th,10th,7th-8th}
@attribute education-num numeric
@attribute workclass {Without-pay,Never-worked,Local-gov,Self-emp-not-inc,Private,State-gov,Self-emp-inc,Federal-gov}

@data
White,21,0,Own-child,United-States,?,40,<=50K,242736,0,Female,Never-married,Assoc-acdm,12,?
White,36,0,Husband,United-States,Craft-repair,50,>50K,153066,0,Male,Married-civ-spouse,Some-college,10,Private
White,29,0,Not-in-family,United-States,Exec-managerial,40,<=50K,216479,0,Female,Divorced,HS-grad,9,Private
White,26,0,Own-child,United-States,Other-service,40,<=50K,159759,0,Male,Never-married,Bachelors,13,Private
Black,55,0,Unmarried,United-States,Exec-managerial,40,<=50K,256335,0,Male,Divorced,Bachelors,13,State-gov
White,27,0,Husband,United-States,Handlers-cleaners,40,>50K,35032,0,Male,Married-civ-spouse,Some-college,10,Private
White,38,0,Husband,United-States,Craft-repair,40,<=50K,49020,0,Male,Married-civ-spouse,HS-grad,9,Private
Black,55,0,Husband,United-States,Other-service,40,<=50K,154580,2580,Male,Married-civ-spouse,10th,6,Private
White,29,0,Not-in-family,United-States,Craft-repair,40,<=50K,308944,0,Male,Married-spouse-absent,HS-grad,9,Private
White,31,0,Husband,United-States,Exec-managerial,40,>50K,217460,0,Male,Married-civ-spouse,Bachelors,13,Private
White,19,0,Own-child,United-States,Exec-managerial,28,<=50K,208506,0,Female,Never-married,Some-college,10,Private
White,58,0,Husband,United-States,Sales,35,>50K,165315,0,Male,Married-civ-spouse,HS-grad,9,Self-emp-not-inc
White,31,0,Husband,United-States,Craft-repair,40,<=50K,312667,0,Male,Married-civ-spouse,9th,5,Private
