@relation SomeContent

@attribute sq_name string
@attribute class {cp,imL#omL#imS#im#imU#pp#om#}
@attribute lip numeric
@attribute mcg numeric
@attribute alm1 numeric
@attribute aac numeric
@attribute gvh numeric
@attribute chg numeric
@attribute alm2 numeric

@data
DSBC_ECOLI,imL#omL#imS#im#imU#pp#om#,0.48,0.66,0.38,0.31,0.74,0.5,0.43
NHAR_ECOLI,cp,0.48,0.37,0.36,0.42,0.5,0.5,0.45
XGPT_ECOLI,cp,0.48,0.27,0.38,0.37,0.42,0.5,0.43
MALF_ECOLI,imL#omL#imS#im#imU#pp#om#,0.48,0.63,0.79,0.65,0.54,0.5,0.81
MALZ_ECOLI,cp,0.48,0.36,0.47,0.48,0.41,0.5,0.54
CPXA_ECOLI,imL#omL#imS#im#imU#pp#om#,0.48,0.79,0.82,0.46,0.36,0.5,0.7
RHAR_ECOLI,cp,0.48,0.51,0.31,0.58,0.46,0.5,0.41
PTCC_ECOLI,imL#omL#imS#im#imU#pp#om#,0.48,0.5,0.61,0.71,0.57,0.5,0.66
G6PI_ECOLI,cp,0.48,0.3,0.41,0.59,0.37,0.5,0.49
POTD_ECOLI,imL#omL#imS#im#imU#pp#om#,0.48,0.63,0.31,0.46,0.8,0.5,0.29
TOLQ_ECOLI,imL#omL#imS#im#imU#pp#om#,0.48,0.63,0.73,0.64,0.75,0.5,0.66
LLDP_ECOLI,imL#omL#imS#im#imU#pp#om#,0.48,0.66,0.66,0.59,0.53,0.5,0.66
PTHA_ECOLI,cp,0.48,0.41,0.24,0.5,0.43,0.5,0.25
DDLA_ECOLI,cp,0.48,0.43,0.31,0.47,0.39,0.5,0.41
CODB_ECOLI,imL#omL#imS#im#imU#pp#om#,0.48,0.29,0.65,0.71,0.47,0.5,0.69
FABB_ECOLI,cp,0.48,0.65,0.3,0.59,0.47,0.5,0.4
TNAB_ECOLI,imL#omL#imS#im#imU#pp#om#,0.48,0.68,0.75,0.71,0.51,0.5,0.78
AMPE_ECOLI,imL#omL#imS#im#imU#pp#om#,0.48,0.63,0.82,0.51,0.47,0.5,0.84
OMPR_ECOLI,cp,0.48,0.24,0.28,0.37,0.43,0.5,0.38
ENVZ_ECOLI,imL#omL#imS#im#imU#pp#om#,0.48,0.72,0.66,0.51,0.46,0.5,0.7
TREA_ECOLI,imL#omL#imS#im#imU#pp#om#,0.48,0.74,0.68,0.47,0.56,0.5,0.3
RIML_ECOLI,cp,0.48,0.33,0.18,0.53,0.47,0.5,0.29
NADA_ECOLI,cp,0.48,0.26,0.25,0.34,0.26,0.5,0.35
SLP_ECOLI,imL#omL#imS#im#imU#pp#om#,1,0.68,0.55,0.62,0.49,0.5,0.28
