@relation SomeContent

@attribute black {0,1}
@attribute population numeric
@attribute gold {1,0}
@attribute circles numeric
@attribute bars numeric
@attribute quarters numeric
@attribute botright {green,orange,blue,white,brown,red,gold,black}
@attribute orange {0,1}
@attribute stripes numeric
@attribute text {1,0}
@attribute zone {1,4,3,2}
@attribute saltires numeric
@attribute red {1,0}
@attribute landmass {3,1,2,4,5,6}
@attribute sunstars numeric
@attribute area numeric
@attribute white {1,0}
@attribute topleft {blue,red,green,gold,white,brown,orange,black}
@attribute mainhue {red,black,white,brown,gold,orange,green,blue}
@attribute crosses numeric
@attribute icon {1,0}
@attribute colours numeric
@attribute green {1,0}
@attribute language {10,7,3,9,6,8,2,1,4,5}
@attribute animate {0,1}
@attribute crescent {0,1}
@attribute triangle {1,0}
@attribute religion numeric
@attribute name string
@attribute blue {1,0}

@data
0,6,0,0,0,0,red,0,0,0,1,0,1,3,0,41,1,red,red,1,0,2,0,4,0,0,0,1,Switzerland,0
1,1,1,0,1,0,green,0,2,0,4,0,1,4,1,36,0,red,gold,0,0,4,1,6,0,0,0,5,Guinea-Bissau,0
0,0,1,0,5,0,green,0,0,1,4,0,0,1,0,0,1,blue,green,0,1,4,1,1,1,0,0,1,St-Vincent,1
0,13,1,0,0,1,white,0,14,0,1,0,1,5,1,333,1,blue,red,0,0,4,0,10,0,1,0,2,Malaysia,1
0,0,0,0,0,0,green,0,0,0,2,0,0,4,4,2,1,green,green,0,0,2,1,3,0,1,0,2,Comorro-Islands,0
0,38,1,0,0,0,red,0,3,0,4,0,1,3,0,505,0,red,red,0,0,2,0,2,0,0,0,0,Spain,0
0,22,1,0,3,0,red,1,0,1,1,0,1,3,2,237,1,blue,red,0,1,7,1,6,1,0,0,6,Romania,1
0,0,0,0,0,0,blue,0,0,0,1,0,0,6,4,1,1,blue,blue,0,0,2,0,10,0,0,0,1,Micronesia,1
1,0,1,0,0,0,blue,0,0,0,4,0,0,1,0,0,1,blue,blue,0,0,4,0,1,0,0,1,1,St-Lucia,1
1,39,0,1,0,0,white,0,0,0,1,0,1,5,0,99,1,white,white,0,1,4,0,10,0,0,0,7,South-Korea,1
0,56,0,0,3,0,green,0,0,0,1,0,0,4,0,925,1,green,green,0,0,2,1,10,0,0,0,2,Nigeria,0
0,8,0,0,3,0,blue,0,0,0,4,0,0,1,0,109,1,blue,blue,0,0,2,0,2,0,0,0,0,Guatemala,1
1,0,1,0,0,0,gold,0,0,1,1,0,1,5,0,6,1,white,gold,0,1,4,0,10,1,0,1,2,Brunei,0
0,20,0,0,0,0,red,0,0,0,4,0,1,4,1,447,0,red,red,0,0,2,1,8,0,0,0,2,Morocco,0
0,6,0,0,0,0,blue,0,0,0,4,0,1,1,0,49,1,blue,blue,1,0,3,0,2,0,0,0,0,Dominican-Republic,1
0,36,0,0,0,0,red,0,2,0,1,0,1,3,0,313,1,white,white,0,0,2,0,5,0,0,0,6,Poland,0
1,1,0,4,0,0,red,1,0,0,1,0,1,5,0,47,1,orange,orange,0,0,4,0,10,1,0,0,3,Bhutan,0
0,3,0,1,0,0,red,0,3,0,1,0,1,5,0,236,1,red,red,0,0,3,0,10,0,0,0,6,Laos,1
0,4,0,0,0,0,blue,0,2,0,1,0,0,5,1,21,1,blue,white,0,0,2,0,10,0,0,0,7,Israel,1
0,28,1,0,0,0,red,0,3,0,4,0,1,2,0,1139,0,gold,gold,0,0,3,0,2,0,0,0,0,Colombia,1
1,3,1,0,0,0,red,0,0,0,1,0,1,3,1,29,0,red,red,0,0,3,0,6,1,0,0,6,Albania,0
0,10,1,1,0,0,red,0,0,0,4,0,1,3,0,92,1,green,red,0,1,5,1,6,0,0,0,0,Portugal,1
0,2,1,0,0,1,green,0,5,0,1,0,1,4,1,57,1,red,green,0,0,4,1,3,0,0,0,7,Togo,0
0,1,1,0,0,0,green,0,4,0,2,0,1,4,0,2,0,red,red,0,0,4,1,1,0,0,0,4,Mauritius,1
0,0,0,0,0,1,red,0,0,0,2,0,1,6,0,1,1,white,red,1,0,2,0,10,0,0,0,1,Tonga,0
0,15,0,0,0,1,blue,0,0,0,2,1,1,6,6,7690,1,white,blue,1,0,3,0,1,0,0,0,1,Australia,1
1,14,0,0,0,0,black,0,3,0,1,0,1,5,3,435,1,red,red,0,0,4,1,8,0,0,0,2,Iraq,0
1,5,1,0,3,0,green,0,0,1,2,0,1,4,0,26,0,red,red,0,0,4,1,10,0,0,0,5,Rwanda,0
0,1008,1,0,0,0,red,0,0,0,1,0,1,5,5,9561,0,red,red,0,0,2,0,7,0,0,0,6,China,0
0,0,0,1,0,0,red,0,0,0,4,0,1,1,0,2176,1,white,white,0,0,2,0,6,0,0,0,1,Greenland,0
0,1,0,0,0,0,green,0,2,0,1,0,1,5,0,212,1,red,red,0,1,3,1,8,0,0,0,2,Oman,0
1,9,0,0,0,0,black,0,3,0,1,0,1,5,1,195,1,red,red,0,0,4,1,8,0,0,0,2,North-Yemen,0
1,0,0,0,2,0,red,0,0,0,1,0,1,3,0,0,1,white,red,1,1,3,0,10,0,0,0,0,Malta,0
0,16,0,0,0,0,blue,1,0,0,1,0,0,5,2,140,1,blue,brown,0,0,3,0,10,0,1,0,4,Nepal,1
0,1,1,0,0,1,blue,1,0,0,2,1,1,6,0,18,1,white,blue,2,1,7,1,1,1,0,0,1,Fiji,1
0,0,0,1,0,1,blue,0,0,0,3,1,1,6,15,0,1,white,blue,1,0,4,0,1,0,0,0,1,Cook-Islands,1
0,0,0,0,0,0,red,0,3,0,1,0,1,4,0,28,1,green,green,0,0,4,1,10,0,0,1,5,Equatorial-Guinea,1
0,5,0,0,0,0,blue,0,0,0,1,0,0,4,1,637,1,blue,blue,0,0,2,0,10,0,0,0,2,Somalia,1
0,1,1,0,0,0,white,0,0,0,1,0,0,3,0,9,1,white,white,0,1,3,1,6,1,0,0,1,Cyprus,0
0,3,0,0,0,0,white,0,2,0,1,0,1,5,5,1,1,red,white,0,0,2,0,7,0,1,0,3,Singapore,0
0,1,1,0,0,0,blue,0,3,0,2,0,0,4,0,268,0,green,green,0,0,3,1,10,0,0,0,5,Gabon,1
0,0,0,0,0,0,green,0,0,0,1,0,1,4,1,22,1,white,blue,0,0,4,1,3,0,0,1,2,Djibouti,1
1,0,1,0,0,0,green,0,3,0,1,0,1,4,2,0,0,green,green,0,0,4,1,6,0,0,1,0,Sao-Tome,0
0,15,1,0,2,0,gold,1,0,0,1,0,0,5,0,66,0,gold,gold,0,1,4,1,10,1,0,0,3,Sri-Lanka,0
1,0,1,0,0,0,green,0,0,0,2,0,1,6,0,15,0,black,red,0,0,4,1,6,1,0,1,1,Vanuatu,0
1,3,1,0,0,0,black,0,0,0,2,0,1,6,5,463,1,red,black,0,0,4,0,1,1,0,1,5,Papua-New-Guinea,0
0,3,0,0,0,0,blue,0,3,0,4,0,0,1,0,128,1,blue,blue,0,0,2,0,2,0,0,0,0,Nicaragua,1
0,7,0,0,3,0,green,0,0,0,4,0,1,4,0,323,1,red,white,0,0,3,1,3,0,0,0,5,Ivory-Coast,0
0,4,1,0,3,0,red,0,0,0,1,0,1,4,0,1284,0,blue,gold,0,0,3,0,3,0,0,0,5,Chad,1
1,47,1,0,0,0,black,0,3,1,1,0,1,4,0,1001,1,red,black,0,0,4,0,8,1,0,0,2,Egypt,0
0,7,1,0,0,0,green,0,2,0,4,0,1,4,1,274,0,red,red,0,0,3,1,3,0,0,0,5,Burkina,0
0,7,0,1,0,0,red,0,0,0,1,0,1,4,1,164,1,red,red,0,0,2,0,8,0,1,0,2,Tunisia,0
0,11,0,0,0,0,green,0,3,0,1,0,1,3,0,93,1,red,red,0,0,3,1,9,0,0,0,6,Hungary,0
0,5,1,1,0,1,blue,1,0,1,1,1,1,5,0,1,1,white,blue,1,1,6,1,7,1,0,0,3,Hong-Kong,1
1,0,1,1,0,0,red,0,3,0,3,0,1,6,1,4,1,red,red,0,1,5,0,3,0,0,0,0,French-Polynesia,1
0,8,0,0,0,0,red,0,3,0,1,0,1,3,0,84,1,red,red,0,0,2,0,4,0,0,0,0,Austria,0
