@relation SomeContent

@attribute 19 numeric
@attribute Success {0,1}
@attribute 15 numeric
@attribute 9 numeric
@attribute 17 numeric
@attribute Run numeric
@attribute 14 numeric
@attribute 6 numeric
@attribute 12 numeric
@attribute 11 numeric
@attribute 20 numeric
@attribute 5 numeric
@attribute 3 numeric
@attribute 13 numeric
@attribute Study numeric
@attribute 18 numeric
@attribute 10 numeric
@attribute 7 numeric
@attribute 4 numeric
@attribute 16 numeric
@attribute 8 numeric

@data
0.784383,1,0.442225,0.297732,0.276593,48,0.243385,0.79321,0.943846,0.519917,0.468884,0.050065,0.133715,0.129048,3,0.514783,0.544132,0.907737,0.979226,0.28608,0.817325
0.764245,1,0.907614,0.750647,0.895476,65,0.128868,0.361594,0.875553,0.534233,0.778632,0.565571,0.467026,0.444225,1,0.755525,0.955125,0.652016,0.447649,0.358759,0.80163
0.596704,0,0.655297,0.782776,0.944977,166,0.304689,0.584363,0.885593,0.672788,0.713909,0.266809,0.84282,0.220332,3,0.736424,0.30658,0.161049,0.877839,0.153824,0.676496
0.934018,1,0.634521,0.937407,0.754862,46,0.686895,0.900579,0.885329,0.236838,0.669536,0.360131,0.713266,0.840437,2,0.085976,0.427482,0.770371,0.361708,0.557665,0.571773
0.119806,0,0.805469,0.248131,0.148083,26,0.50589,0.055915,0.506724,0.169497,0.917162,0.391904,0.739009,0.508083,2,0.342034,0.672578,0.116662,0.881179,0.551627,0.018891
0.845036,1,0.357928,0.752128,0.850052,13,0.11593,0.041751,0.789403,0.215807,0.393492,0.356204,0.373944,0.980836,3,0.979775,0.873296,0.110632,0.654659,0.755108,0.15012
0.96278,1,0.551449,0.255414,0.657756,30,0.434276,0.254635,0.612871,0.076027,0.560292,0.066133,0.89357,0.58176,3,0.852178,0.868011,0.239165,0.355212,0.162819,0.147224
0.66224,1,0.407308,0.254231,0.870513,100,0.265809,0.150718,0.901439,0.925625,0.176694,0.694074,0.559648,0.613846,1,0.230888,0.812882,0.126538,0.211979,0.727184,0.162545
0.438447,1,0.845247,0.444572,0.346713,2,0.914344,0.306957,0.61687,0.296618,0.512256,0.359448,0.606041,0.975786,1,0.356573,0.828015,0.843331,0.457728,0.864152,0.934851
0.580635,1,0.59266,0.042822,0.864585,113,0.311557,0.526266,0.058176,0.663999,0.482022,0.478121,0.976213,0.672183,3,0.767072,0.840235,0.75762,0.560933,0.139145,0.967341
0.66055,1,0.735716,0.631081,0.188366,125,0.1561,0.927965,0.322483,0.402123,0.916286,0.085466,0.758867,0.450721,1,0.796319,0.534199,0.729706,0.752564,0.688323,0.69553
0.038266,1,0.467325,0.520529,0.857478,79,0.418693,0.191043,0.677997,0.643725,0.315119,0.535767,0.859811,0.27379,3,0.957464,0.075624,0.453512,0.125104,0.387609,0.103253
0.6381,1,0.074572,0.964271,0.234523,78,0.669962,0.992334,0.779268,0.351184,0.612671,0.910796,0.396299,0.419017,3,0.44172,0.545864,0.101733,0.186962,0.708265,0.895132
0.390664,1,0.877914,0.992351,0.849437,116,0.507683,0.143771,0.054453,0.950031,0.270086,0.224373,0.902317,0.222747,1,0.424298,0.258423,0.706488,0.396196,0.39256,0.254153
0.225053,1,0.384432,0.905608,0.941488,22,0.842603,0.149995,0.608748,0.026879,0.692644,0.93911,0.500683,0.316249,1,0.981675,0.765232,0.57904,0.360447,0.601,0.29749
